Date,Open,High,Low,Close,Volume,Price to Earnings Ratio,Price to Sales Ratio
11/03/17,174,174.26,171.12,172.5,59398632,19.602,4.0095
11/02/17,167.64,168.5,165.28,168.11,41393372,19.103,3.9075
11/01/17,169.87,169.94,165.61,166.89,33637760,18.965,3.8791
10/31/17,167.9,169.65,166.94,169.04,36046828,19.209,3.9291
10/30/17,163.89,168.07,163.72,166.72,44700772,18.945,3.8752
10/27/17,159.29,163.6,158.7,163.05,44454160,18.528,3.7899
10/26/17,157.23,157.829,156.78,157.41,17000468,17.887,3.6588
10/25/17,156.91,157.55,155.27,156.41,21207098,17.774,3.6355
10/24/17,156.29,157.42,156.2,157.1,17757230,17.852,3.6516
10/23/17,156.89,157.69,155.5,156.17,21984328,17.747,3.6299
10/20/17,156.61,157.75,155.96,156.25,23974146,17.756,3.6318
10/19/17,156.75,157.08,155.02,155.98,42584168,17.725,3.6255
10/18/17,160.42,160.71,159.6,159.76,16374164,18.155,3.7134
10/17/17,159.78,160.87,159.23,160.47,18997276,18.235,3.7299
10/13/17,156.73,157.28,156.41,156.99,16394188,17.84,3.649
10/12/17,156.35,157.37,155.73,156,16125054,17.727,3.626
10/11/17,155.97,156.98,155.75,156.55,16905640,17.79,3.6388
10/10/17,156.055,158,155.1,155.9,15617014,17.716,3.6237
10/09/17,155.81,156.73,155.485,155.84,16262923,17.709,3.6223
10/06/17,154.97,155.49,154.56,155.3,17407558,17.648,3.6097
10/05/17,154.18,155.44,154.05,155.39,21283768,17.658,3.6118
10/04/17,153.63,153.86,152.46,153.48,20163750,17.441,3.5674
10/03/17,154.01,155.09,153.91,154.48,16230293,17.555,3.5907
10/02/17,154.26,154.45,152.72,153.81,18698842,17.478,3.5751
09/27/17,153.8,154.719,153.54,154.23,25504228,17.526,3.5848
09/26/17,151.78,153.92,151.69,153.14,36660044,17.402,3.5595
09/25/17,149.99,151.83,149.16,150.55,44387336,17.108,3.4993
09/22/17,152.02,152.27,150.56,151.89,46645444,17.26,3.5305
09/21/17,155.8,155.8,152.75,153.39,37511660,17.431,3.5653
09/20/17,157.9,158.26,153.83,156.07,52951364,17.735,3.6276
09/19/17,159.51,159.77,158.44,158.73,20810632,18.037,3.6894
09/18/17,160.11,160.5,157.995,158.67,28269436,18.031,3.688
09/15/17,158.47,160.97,158,159.88,49114600,18.168,3.7162
09/14/17,158.99,159.4,158.09,158.28,23760748,17.986,3.679
09/13/17,159.87,159.96,157.91,159.65,44907360,18.142,3.7108
09/12/17,162.61,163.96,158.77,160.86,71714048,18.28,3.739
09/11/17,160.5,162.05,159.89,161.5,31580798,18.352,3.7538
09/08/17,160.86,161.15,158.53,158.63,28611536,18.026,3.6871
09/07/17,162.09,162.24,160.36,161.26,21928502,18.325,3.7483
09/06/17,162.71,162.99,160.52,161.91,21651726,18.399,3.7634
09/05/17,163.75,164.25,160.56,162.08,29536314,18.418,3.7673
09/01/17,164.8,164.94,163.63,164.05,16591051,18.642,3.8131
08/31/17,163.64,164.52,163.48,164,26785096,18.636,3.8119
08/30/17,163.8,163.89,162.61,163.35,27269584,18.562,3.7968
08/29/17,160.1,163.12,160,162.91,29516910,18.512,3.7866
08/28/17,160.14,162,159.93,161.47,25965972,18.349,3.7531
08/25/17,159.65,160.56,159.27,159.86,25480064,18.166,3.7157
08/24/17,160.43,160.74,158.55,159.27,19818918,18.099,3.702
08/23/17,159.07,160.47,158.88,159.98,19399080,18.18,3.7185
08/22/17,158.23,160,158.02,159.78,21604584,18.157,3.7139
08/21/17,157.5,157.89,155.11,157.21,26368528,17.865,3.6541
08/18/17,157.86,159.5,156.72,157.5,27428068,17.898,3.6609
08/17/17,160.52,160.71,157.84,157.86,27940564,17.939,3.6692
08/16/17,161.94,162.51,160.15,160.95,27671612,18.29,3.741
08/15/17,160.66,162.195,160.14,161.6,29465488,18.364,3.7562
08/14/17,159.32,160.21,158.75,159.85,22122734,18.165,3.7155
08/11/17,156.6,158.573,156.07,157.48,26257096,17.895,3.6604
08/10/17,159.9,160,154.63,155.32,40804272,17.65,3.6102
08/09/17,159.26,161.27,159.11,161.06,26131530,18.302,3.7436
08/08/17,158.6,161.83,158.27,160.08,36205896,18.191,3.7208
08/07/17,157.06,158.92,156.67,158.81,21870320,18.047,3.6913
08/04/17,156.07,157.4,155.69,156.39,20559852,17.772,3.6351
08/03/17,157.05,157.21,155.02,155.57,27097296,17.678,3.616
08/02/17,159.28,159.75,156.16,157.14,69936800,17.857,3.6525
08/01/17,149.1,150.22,148.41,150.05,35368644,17.55,3.5568
